COAD 增强实验记录 (SyNG-BTS 2.6)
格式: COAD_5-2-标准化-batch-模型-data_type-状态|时间戳|耗时|完成比例|已完成/总数
COAD_5-2-raw-batch5-CVAE1-50-miRNA-success|2026-02-23 19:15:48|0:00:24|15.0%|54/360
COAD_5-2-raw-batch5-CVAE1-50-RNA-success|2026-02-23 19:16:12|0:00:23|15.3%|55/360
COAD_5-2-raw-batch5-CVAE1-100-miRNA-success|2026-02-23 19:16:33|0:00:21|15.6%|56/360
COAD_5-2-raw-batch5-CVAE1-100-RNA-success|2026-02-23 19:17:04|0:00:30|15.8%|57/360
COAD_5-2-raw-batch5-CVAE1-200-miRNA-success|2026-02-23 19:17:28|0:00:23|16.1%|58/360
COAD_5-2-raw-batch5-CVAE1-200-RNA-success|2026-02-23 19:17:56|0:00:27|16.4%|59/360
COAD_5-2-raw-batch6-CVAE10-1-miRNA-success|2026-02-23 19:18:18|0:00:22|16.7%|60/360
COAD_5-2-raw-batch6-CVAE10-1-RNA-success|2026-02-23 19:18:42|0:00:24|16.9%|61/360
COAD_5-2-raw-batch6-CVAE1-1-miRNA-success|2026-02-23 19:19:02|0:00:20|17.2%|62/360
COAD_5-2-raw-batch6-CVAE1-1-RNA-success|2026-02-23 19:19:21|0:00:18|17.5%|63/360
COAD_5-2-raw-batch6-CVAE1-10-miRNA-success|2026-02-23 19:19:41|0:00:20|17.8%|64/360
COAD_5-2-raw-batch6-CVAE1-10-RNA-success|2026-02-23 19:20:05|0:00:24|18.1%|65/360
COAD_5-2-raw-batch6-CVAE1-50-miRNA-success|2026-02-23 19:20:35|0:00:29|18.3%|66/360
COAD_5-2-raw-batch6-CVAE1-50-RNA-success|2026-02-23 19:20:57|0:00:22|18.6%|67/360
COAD_5-2-raw-batch6-CVAE1-100-miRNA-success|2026-02-23 19:21:19|0:00:21|18.9%|68/360
COAD_5-2-raw-batch6-CVAE1-100-RNA-success|2026-02-23 19:21:46|0:00:26|19.2%|69/360
COAD_5-2-raw-batch6-CVAE1-200-miRNA-success|2026-02-23 19:22:02|0:00:15|19.4%|70/360
COAD_5-2-raw-batch6-CVAE1-200-RNA-success|2026-02-23 19:22:23|0:00:21|19.7%|71/360
COAD_5-2-raw-batch7-CVAE10-1-miRNA-success|2026-02-23 19:22:42|0:00:19|20.0%|72/360
COAD_5-2-raw-batch7-CVAE10-1-RNA-success|2026-02-23 19:23:01|0:00:18|20.3%|73/360
COAD_5-2-raw-batch7-CVAE1-1-miRNA-success|2026-02-23 19:23:21|0:00:20|20.6%|74/360
COAD_5-2-raw-batch7-CVAE1-1-RNA-success|2026-02-23 19:23:53|0:00:31|20.8%|75/360
COAD_5-2-raw-batch7-CVAE1-10-miRNA-success|2026-02-23 19:24:16|0:00:22|21.1%|76/360
COAD_5-2-raw-batch7-CVAE1-10-RNA-success|2026-02-23 19:24:37|0:00:21|21.4%|77/360
COAD_5-2-raw-batch7-CVAE1-50-miRNA-success|2026-02-23 19:25:02|0:00:24|21.7%|78/360
COAD_5-2-raw-batch7-CVAE1-50-RNA-success|2026-02-23 19:25:28|0:00:25|21.9%|79/360
COAD_5-2-raw-batch7-CVAE1-100-miRNA-success|2026-02-23 19:25:47|0:00:19|22.2%|80/360
COAD_5-2-raw-batch7-CVAE1-100-RNA-success|2026-02-23 19:26:26|0:00:38|22.5%|81/360
COAD_5-2-raw-batch7-CVAE1-200-miRNA-success|2026-02-23 19:26:48|0:00:22|22.8%|82/360
COAD_5-2-raw-batch7-CVAE1-200-RNA-success|2026-02-23 19:27:30|0:00:41|23.1%|83/360
COAD_5-2-raw-batch8-CVAE10-1-miRNA-success|2026-02-23 19:27:51|0:00:21|23.3%|84/360
COAD_5-2-raw-batch8-CVAE10-1-RNA-success|2026-02-23 19:28:26|0:00:34|23.6%|85/360
COAD_5-2-raw-batch8-CVAE1-1-miRNA-success|2026-02-23 19:28:46|0:00:19|23.9%|86/360
COAD_5-2-raw-batch8-CVAE1-1-RNA-success|2026-02-23 19:29:07|0:00:21|24.2%|87/360
COAD_5-2-raw-batch8-CVAE1-10-miRNA-success|2026-02-23 19:29:33|0:00:25|24.4%|88/360
COAD_5-2-raw-batch8-CVAE1-10-RNA-success|2026-02-23 19:29:55|0:00:21|24.7%|89/360
COAD_5-2-raw-batch8-CVAE1-50-miRNA-success|2026-02-23 19:30:17|0:00:21|25.0%|90/360
COAD_5-2-raw-batch8-CVAE1-50-RNA-success|2026-02-23 19:30:41|0:00:23|25.3%|91/360
COAD_5-2-raw-batch8-CVAE1-100-miRNA-success|2026-02-23 19:31:01|0:00:20|25.6%|92/360
COAD_5-2-raw-batch8-CVAE1-100-RNA-success|2026-02-23 19:31:26|0:00:24|25.8%|93/360
COAD_5-2-raw-batch8-CVAE1-200-miRNA-success|2026-02-23 19:32:02|0:00:36|26.1%|94/360
COAD_5-2-raw-batch8-CVAE1-200-RNA-success|2026-02-23 19:32:40|0:00:37|26.4%|95/360
COAD_5-2-raw-batch9-CVAE10-1-miRNA-success|2026-02-23 19:33:17|0:00:36|26.7%|96/360
COAD_5-2-raw-batch9-CVAE10-1-RNA-success|2026-02-23 19:33:40|0:00:23|26.9%|97/360
COAD_5-2-raw-batch9-CVAE1-1-miRNA-success|2026-02-23 19:34:02|0:00:21|27.2%|98/360
COAD_5-2-raw-batch9-CVAE1-1-RNA-success|2026-02-23 19:34:23|0:00:20|27.5%|99/360
COAD_5-2-raw-batch9-CVAE1-10-miRNA-success|2026-02-23 19:34:47|0:00:23|27.8%|100/360
COAD_5-2-raw-batch9-CVAE1-10-RNA-success|2026-02-23 19:35:10|0:00:23|28.1%|101/360
COAD_5-2-raw-batch9-CVAE1-50-miRNA-success|2026-02-23 19:35:35|0:00:24|28.3%|102/360
COAD_5-2-raw-batch9-CVAE1-50-RNA-success|2026-02-23 19:36:02|0:00:27|28.6%|103/360
COAD_5-2-raw-batch9-CVAE1-100-miRNA-success|2026-02-23 19:36:25|0:00:22|28.9%|104/360
COAD_5-2-raw-batch9-CVAE1-100-RNA-success|2026-02-23 19:36:57|0:00:31|29.2%|105/360
COAD_5-2-raw-batch9-CVAE1-200-miRNA-success|2026-02-23 19:37:15|0:00:18|29.4%|106/360
COAD_5-2-raw-batch9-CVAE1-200-RNA-success|2026-02-23 19:37:45|0:00:29|29.7%|107/360
COAD_5-2-raw-batch10-CVAE10-1-miRNA-success|2026-02-23 19:38:07|0:00:22|30.0%|108/360
COAD_5-2-raw-batch10-CVAE10-1-RNA-success|2026-02-23 19:38:51|0:00:44|30.3%|109/360
COAD_5-2-raw-batch10-CVAE1-1-miRNA-success|2026-02-23 19:39:15|0:00:24|30.6%|110/360
COAD_5-2-raw-batch10-CVAE1-1-RNA-success|2026-02-23 19:39:36|0:00:20|30.8%|111/360
COAD_5-2-raw-batch10-CVAE1-10-miRNA-success|2026-02-23 19:39:59|0:00:22|31.1%|112/360
COAD_5-2-raw-batch10-CVAE1-10-RNA-success|2026-02-23 19:40:25|0:00:26|31.4%|113/360
COAD_5-2-raw-batch10-CVAE1-50-miRNA-success|2026-02-23 19:40:46|0:00:21|31.7%|114/360
COAD_5-2-raw-batch10-CVAE1-50-RNA-success|2026-02-23 19:41:18|0:00:31|31.9%|115/360
COAD_5-2-raw-batch10-CVAE1-100-miRNA-success|2026-02-23 19:41:42|0:00:24|32.2%|116/360
COAD_5-2-raw-batch10-CVAE1-100-RNA-success|2026-02-23 19:42:12|0:00:30|32.5%|117/360
COAD_5-2-raw-batch10-CVAE1-200-miRNA-success|2026-02-23 19:42:31|0:00:18|32.8%|118/360
